chapter,title,chapter_path,code_pack,library_examples,python_libraries,existing_scenario_example
1,AI Foundations: From Rules to Agents,01-foundations/01-ai-foundations-from-rules-to-agents.md,Foundations and ML,01_sklearn_ticket_classifier.py,numpy; pandas; scikit-learn; pydantic,examples/01-ai-foundations
2,Machine Learning Fundamentals,01-foundations/02-machine-learning-fundamentals.md,Foundations and ML,01_sklearn_ticket_classifier.py,numpy; pandas; scikit-learn; pydantic,examples/02-machine-learning
3,Deep Learning and Representation Learning,01-foundations/03-deep-learning-and-representation-learning.md,Deep learning,02_torch_mlp_classifier.py,torch; numpy,examples/03-deep-learning
4,Transformers and Attention,01-foundations/04-transformers-and-attention.md,Transformers and LLMs,03_transformers_generation.py,transformers; torch; openai,examples/04-transformers
5,Large Language Models,01-foundations/05-large-language-models.md,Transformers and LLMs,03_transformers_generation.py,transformers; torch; openai,examples/05-large-language-models
6,Prompt Engineering Fundamentals,02-prompt-engineering/01-prompt-engineering-fundamentals.md,Prompting and optimization,04_openai_structured_output.py; 12_dspy_classifier.py,openai; pydantic; dspy,examples/06-prompt-engineering
7,Retrieval-Augmented Generation and Retrieval Fundamentals,03-rag/01-rag-and-retrieval-fundamentals.md,RAG and retrieval,05_sentence_transformers_faiss_rag.py; 06_llamaindex_rag.py; 21_chromadb_rag.py,sentence-transformers; faiss-cpu; chromadb; llama-index,examples/07-rag
8,Embeddings and Vector Search,03-rag/02-embeddings-and-vector-search.md,RAG and retrieval,05_sentence_transformers_faiss_rag.py; 06_llamaindex_rag.py; 21_chromadb_rag.py,sentence-transformers; faiss-cpu; chromadb; llama-index,examples/08-embeddings-vector-search
9,"Chunking, Reranking, and Retrieval Quality",03-rag/03-chunking-reranking-and-retrieval-quality.md,RAG and retrieval,05_sentence_transformers_faiss_rag.py; 06_llamaindex_rag.py; 21_chromadb_rag.py,sentence-transformers; faiss-cpu; chromadb; llama-index,examples/09-retrieval-quality
10,Advanced and Agentic RAG,03-rag/04-advanced-and-agentic-rag.md,RAG and retrieval,05_sentence_transformers_faiss_rag.py; 06_llamaindex_rag.py; 21_chromadb_rag.py,sentence-transformers; faiss-cpu; chromadb; llama-index,examples/10-agentic-rag
